,ticker,headline,neg,neu,pos,compound
0,#ADF_Foods,ADF Foods Q4 net up 104% at ₹5.45 crore,0.0,1.0,0.0,0.0
1,#Adani_Enterprises,"Adani Enterprises Q1 result: Consolidated loss at  ₹65.67 croreTN inks pacts for over  ₹30,000 crore investments in two monthsAdani Australia chief to step down as coal prices tankStocks to Watch: HDFC, SBI, Yes Bank, United Spirits, Adani Ports, PiramalStocks to Watch: Bharti Airtel, Sun Pharma, Indiabulls Housing, CadilaProposal to cut duty-free liquor quota may hit Adani, Zurich AGGovt may cap airport contracts at two per firmStocks to Watch: Yes Bank, RIL, Bharti Airtel, Vodafone, TCS, Adani EnterprisesCBI files criminal case against Adani EnterprisesSupreme Court stays HC order, lets DRI pursue case against Adani firms",0.075,0.846,0.079,0.1027
2,#Ahluwalia_Contracts,Cannot reject insolvency plea over claims disputed after demand notice: NCLATGovernment contracts to the rescue for Ahluwalia ContractsAhluwalia Contracts eyes 20% revenue growth in FY12Company Review: Ahluwalia Contracts,0.111,0.656,0.233,0.6437
3,#Allcargo_Logistics,"Allcargo gets Sebi nod to launch open offer for stakebuy in GatiNational logistics policy to bring down cost and streamline rulesAllcargo’s open offer to buy stake in Gati under Sebi lensBlackstone to invest  ₹380 crore in Allcargo’s warehousing businessBlackstone nears deal to buy stake in Allcargo’s unitRealty investors look to build portfolios in India’s logistics sectorDeals Buzz: Allcargo Logistics buys majority stake in GatiStocks to Watch: Yes Bank, SBI, Tata Motors, Bharti Airtel, Allcargo LogisticsAllcargo Logistics buys majority stake in GatiAllcargo Logistics in talks to acquire stake in rival Gati",0.0,0.971,0.029,0.4019
4,#Alphageo,Stock update: Alphageo India,0.0,1.0,0.0,0.0
5,#Apar_Industries,"Tamil Nadu's 2nd edition of global investors meet to begin WednesdayBinani Cement goes to UltraTech: What now for Dalmia Bharat?SBI does a U-turn on stressed assets sale, seeks deals with ARCs",0.075,0.872,0.053,-0.1779
6,#Atul_Auto,"Is Atul Auto a contrarian play in the auto sector?Atul Auto to set up new plant, launch petrol-powered 3-wheelersAtul Auto gets a foothold in the three-wheeler marketAtul Auto eyes entry into 4-wheeler market, may invest ₹200 crDisinvestment proposal for Scooters India lying in cabinetAtul Auto eyes LCV foray, scouting for a foreign partnerAtul Auto seeking majority stake in Scooters IndiaM&amp;M, Atul Auto eye controlling stake in Scooters India",0.049,0.916,0.035,-0.25
7,#Bajaj_Finserv,"How to get a personal loan on lower interest ratesStocks to Watch: HUL, Axis Bank, Bajaj Finserv, Cipla, Yes Bank, CSB BankBajaj Finance Q1 net profit drops 19 pc to  ₹962 cr on higher provisioningInvest now in contactless online fixed deposit with Bajaj FinanceAfter 3-day rally, Sensex, Nifty rise to 3-month highs. What analysts sayReasons to grow your savings with NBFC fixed depositDivide medical costs into No Cost EMIs with the Digital Health EMI Network CardKnow how loan moratorium will work in case of no-cost EMIUse Digital Health EMI Network Card for treatments not covered under insuranceStocks to Watch: Bajaj Auto, aviation firms, Jubilant Foodworks, Tata Motors",0.037,0.834,0.129,0.8979
8,#Bharat_Bijlee,Sharekhan puts SELL on Bharat BijleeSharekhan maintains HOLD on Bharat Bijlee,0.0,1.0,0.0,0.0
9,#Cholamandalam_Investment_and_Finance_Company,"Cholamandalam Finance sees rise in demand for personal mobility vehicle loansIndian companies' foreign borrowings down 45% to $2 billion in December'19Cholamandalam to raise  ₹1,000 crore via QIPL&T Finance unit to raise $550 million in IFC-led investment roundCholamandalam Investment and Finance Company gets Rs212 crore tax notice",0.032,0.968,0.0,-0.128
10,#City_Union_Bank,"Loss in Q4 drags City Union Bank stock down 11%; bad loans, provisions spikeCity Union Bank reports Q4 loss of  ₹95 croreShriram Capital halts 3-way merger after RBI requestRBI slaps penalties on 36 major banks for non-compliance in SWIFT operationsWhy shares of this Tamil Nadu bank outpaced larger rivalsCity Union Bank Q4 profit rises 18% to Rs152.12 croreCity Union Bank CEO says suffered cyber hack via Swift systemCity Union Bank Q3 profit up 22.2% to Rs154.79 croreCity Union Bank Q2 profit rises 17% to Rs145 croreCity Union Bank Q1 net profit rises 13.6 % to Rs140 crore",0.113,0.73,0.157,0.6289
11,#Clariant_Chemicals,"Clariant to buy Huntsman for $6.4 billion as chemical M&A deals surgeSwiss chemicals maker Clariant may buy Mumbai’s Galaxy SurfactantsClariant Chemicals to buyback 13.42% shares for Rs340 croreClariant Chemicals exits leather business; shares rise 5%Clariant Chemicals sells land parcel for Rs1,154 croreClariant Chemicals to acquire Gujarat-based firm for `135 crore",0.0,0.916,0.084,0.5267
12,#Deccan_Cements,"IPL&#8217;s maxim so far: the bigger they come, the harder they fall",0.0,1.0,0.0,0.0
